id,created_at,text
365120097322409985,2013-08-07 14:39:49,"b'@LilBittyAdam35 I find that picture very offensive, please delete it at once'"
365117516416167936,2013-08-07 14:29:34,b'@LilBittyAdam35 Man hows the bomb factory? u got the stuff ready for my people?'
365071695196848128,2013-08-07 11:27:29,b'Here I am at the biggest mall in Asia..alone..Again.'
364013487153889280,2013-08-04 13:22:33,b'Cant wait to play GTA 5 and Destiny'
364004749449768960,2013-08-04 12:47:49,"b'Namba Park, Osaka top floor is probably the most romantic place there is'"
363192728160436224,2013-08-02 07:01:08,b'Everyone in Japan sounds like an automated machine'
363114411046600704,2013-08-02 01:49:56,b'Pocky is so goood #yummy'
362132156333555714,2013-07-30 08:46:48,b'Walking dead season 4 #comefastplease'
361845079683502081,2013-07-29 13:46:04,b'Its so flashy in Seoul'
361108049009713153,2013-07-27 12:57:22,b'Seeing white people in foreign countries #hilarious'
360234918229442561,2013-07-25 03:07:52,b'Instead of eating a dog in the Philippines I settled with a 17 day old developing duck in an egg #streetlife'
359535284808978432,2013-07-23 04:47:46,"b""I love sitting by girls who speak another language that I don't understand #thuglife"""
358160707642081281,2013-07-19 09:45:41,"b'If theirs no black people in KFC, theres no black people in the building'"
358158361939820545,2013-07-19 09:36:22,b'Theres a huge math competition right in the center of the mall and hundreds of people watching'
358158051125100544,2013-07-19 09:35:08,b'Shopping in a huge mall by myself #loner'
357873005789057024,2013-07-18 14:42:28,b'Great start to this family reunion #pumped'
357675643904851968,2013-07-18 01:38:13,b'I find it funny how its hotter in MP than it is in the Philippines'
357327068792487936,2013-07-17 02:33:06,b'I make it a plan to live in California'
356461310671716355,2013-07-14 17:12:53,b'Cant wait for the 100 degree weather im about to feel everyday #Asia'
355782054316752897,2013-07-12 20:13:46,b'Got passed 30 times on the way to lansing #studentlife'
354718507805573120,2013-07-09 21:47:37,b'just got called a mudblood by nick'
354632792740593664,2013-07-09 16:07:01,b'GTA 5 looks amazing #iwantit'
354126024298074112,2013-07-08 06:33:18,b'craving some pizza right now..'
354077937261223937,2013-07-08 03:22:13,b'slept for 6 hours in the afternoon now i cant sleep'
353934714467385344,2013-07-07 17:53:06,b'i think closing the door is one of the hardest things to do when people enter my room'
352634927738654723,2013-07-04 03:48:13,b'staying up late to watch @MirandaCosgrove on jimmy kimmel live #dedicated'
352291120224534528,2013-07-03 05:02:02,b'playing that late night GTA #funashell'
352199280901111808,2013-07-02 22:57:06,b'a bird pooped on my hair.'
351866646794735617,2013-07-02 00:55:20,b'my younger brother talks to more girls than me #loner'
351828275783417857,2013-07-01 22:22:52,b'i just made a sandwich #wheresthelove'
351666978420834304,2013-07-01 11:41:55,b'its so cold in the morning..'
351137031692357633,2013-06-30 00:36:06,"b'Sally, u will be missed #GTA4'"
350780928483803136,2013-06-29 01:01:05,b'americans get to their destinations on time where as asians... #late'
349982191809343489,2013-06-26 20:07:11,b'we got a noisy kid in this waiting room #pleasecallmyname'
349979369130831872,2013-06-26 19:55:58,b'yellowcard is a great band'
349974809037385728,2013-06-26 19:37:51,"b'i hope it doesnt rain, riding on a wet bike would just be marvelous'"
349974367578505216,2013-06-26 19:36:06,b'back at the dentists..woohoo'
349255349146107904,2013-06-24 19:58:58,b'the thing that makes me upset is that i waited for 2 hours for this app. that took 40 mins'
349243752126222337,2013-06-24 19:12:53,b'ive gone to green to red on my battery waiting for my appointment'
349237351903531008,2013-06-24 18:47:27,"b""man listening to stacy's mom on pandora #throwback"""
349148705284292608,2013-06-24 12:55:12,b'whenever connor gets a haircut he looks like coconut kid from neds declassified'
348457525919760384,2013-06-22 15:08:42,b'rice in the morning #thuglife'
347914998879752193,2013-06-21 03:12:54,b'making 2 alarms just because you suck at waking up #thatsme'
347731534649884676,2013-06-20 15:03:53,b'how do people listen country? #tired'
347539810182905857,2013-06-20 02:22:02,b'Rooftops by lostprophets is such a good song'
347538365161275392,2013-06-20 02:16:17,b'waking up is such a challenge..'
347431044070379520,2013-06-19 19:09:50,b'Pancakes are one of the best things life has to offer'
347172662973444097,2013-06-19 02:03:07,"b'i have three friends. my right hand jill, my dad, and connor. #swag'"
347172216871473154,2013-06-19 02:01:21,b'they call me chingling'
346088857101541376,2013-06-16 02:16:28,b'i like the weirdest girls'
346076899493175296,2013-06-16 01:28:57,b'when people mumble the whole song but shouts the few words they know #connorswagpetpeeves'
345880464164270080,2013-06-15 12:28:23,b'bobby taking an old ladys spot when parking #whatatroll'
345741523687702528,2013-06-15 03:16:17,b'@LiLCBaller23 bangin the bed right now #tf'
345542120125390848,2013-06-14 14:03:55,b'ayy happy birthday @LarryHood35101 !!'
345510108345794560,2013-06-14 11:56:43,b'the kids who made me sleep late from all the shouting are still playing xbox..for 9 hours.'
345354686859194368,2013-06-14 01:39:08,b'im a fag'
344886146549047297,2013-06-12 18:37:19,b'only complaint i have in driving : HOT'
344489107243814914,2013-06-11 16:19:38,b'Super smash bros trailer looks sick'
344416424934133761,2013-06-11 11:30:49,b'@EricaLybeer ...lmfao i almost did forget them.'
344151322062364672,2013-06-10 17:57:23,b'499 dollars for an xbox..? too hefty.'
344150613619257344,2013-06-10 17:54:34,b'BOOM HALO IS BACK!'
344134772848750592,2013-06-10 16:51:38,b'im watching E3 right now..#truenerd'
344102927281045505,2013-06-10 14:45:05,"b'@EricaLybeer dont worry we got maxon supervising us, its going to go GREAT.'"
344102032786980864,2013-06-10 14:41:32,b'@EricaLybeer man i am going to crash..'
344101556997738496,2013-06-10 14:39:38,b'@EricaLybeer bout to be a fun time :)'
344099740599857152,2013-06-10 14:32:25,b'first day of summer and its raining #howwonderful'
344092010791194624,2013-06-10 14:01:42,b'pretty weird for me to walk home notebooks in hand at 10 AM'
343909266823995392,2013-06-10 01:55:33,b'Livin like larry sounds way better than yolo'
343907001979502593,2013-06-10 01:46:33,b'@PortableShua has the funniest vines out there IMO'
343905224223752193,2013-06-10 01:39:29,b'@DamonAnderson23 half past watermelon'
343878799861112832,2013-06-09 23:54:29,b'iPhone or Samsung Galaxy S4 #thedecisions'
343559164930449408,2013-06-09 02:44:22,b'i wonder if i watch sam and cat @MirandaCosgrove will one day make a guest appearence #hoping'
343006030239772672,2013-06-07 14:06:25,b'finally hitting 1k tweets and exams are over #goodday'
342978129574391810,2013-06-07 12:15:32,b'one more exam to go..'
342680193783189505,2013-06-06 16:31:39,b'5 days till new smash bros trailer #nerdgasm'
342639516546396160,2013-06-06 13:50:01,b'that eco exam..waaaaay to easy'
342623350947987456,2013-06-06 12:45:47,b'there needs to be more sun instead of clouds'
342268845450461185,2013-06-05 13:17:06,b'honestly u should have all the time you need for an exam'
342235713137430528,2013-06-05 11:05:27,b'final day of math.'
342108722874687489,2013-06-05 02:40:50,b'bout to wreck up this math exam tmrow #gimmedatA'
342071261381402626,2013-06-05 00:11:58,b'gotta love kids messing up my yard #growup'
341556594120732672,2013-06-03 14:06:52,b'RT @BestProAdvice: How to tell the difference between Asian languages http://t.co/vDKW4mWR6d'
